Time,POE,Lane,Open,Stacked,Volume,Capacity,Unmet,Wait Time,NB POV Toll,NB Trk Toll,SB POV Toll,SB Trk Toll
9,"SY","POV_GP",5.000000,5.000000,1446.852108,390.000000,1056.852108,81.296316,0.000000,0.000000,0.000000,0.000000
9,"SY","POV_RE",7.000000,7.000000,1496.053777,609.000000,887.053777,43.697230,0.000000,0.000000,0.000000,0.000000
9,"SY","POV_SE",8.000000,0.000000,1457.280412,928.000000,529.280412,17.110358,0.000000,0.000000,0.000000,0.000000
9,"SY","POV_SB",5.000000,0.000000,1149.355796,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,"OM","POV_GP",3.000000,0.000000,631.130447,180.000000,451.130447,75.188408,0.000000,0.000000,0.000000,0.000000
9,"OM","POV_RE",6.000000,0.000000,1065.982928,474.000000,591.982928,37.467274,0.000000,0.000000,0.000000,0.000000
9,"OM","POV_SE",4.000000,0.000000,695.306844,500.000000,195.306844,11.718411,0.000000,0.000000,0.000000,0.000000
9,"OM","POV_SB",2.000000,0.000000,722.867714,1536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,"OM","COM_GP",6.000000,0.000000,309.525438,138.000000,171.525438,37.288139,0.000000,0.000000,0.000000,0.000000
9,"OM","COM_SP",2.000000,0.000000,57.356518,46.000000,11.356518,7.406425,0.000000,0.000000,0.000000,0.000000
9,"OM","COM_SB",4.000000,0.000000,257.181920,356.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,"SY","POV_GP",5.000000,5.000000,1537.610666,390.000000,1147.610666,88.277744,0.000000,0.000000,0.000000,0.000000
10,"SY","POV_RE",7.000000,7.000000,1525.599501,609.000000,916.599501,45.152685,0.000000,0.000000,0.000000,0.000000
10,"SY","POV_SE",8.000000,0.000000,1416.233195,928.000000,488.233195,15.783401,0.000000,0.000000,0.000000,0.000000
10,"SY","POV_SB",5.000000,0.000000,1522.349719,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,"OM","POV_GP",3.000000,0.000000,675.991381,180.000000,495.991381,82.665230,0.000000,0.000000,0.000000,0.000000
10,"OM","POV_RE",7.000000,0.000000,1246.658941,553.000000,693.658941,37.630684,0.000000,0.000000,0.000000,0.000000
10,"OM","POV_SE",3.000000,0.000000,507.465345,375.000000,132.465345,10.597228,0.000000,0.000000,0.000000,0.000000
10,"OM","POV_SB",2.000000,0.000000,1153.873701,1536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,"OM","COM_GP",7.000000,0.000000,335.310759,161.000000,174.310759,32.480266,0.000000,0.000000,0.000000,0.000000
10,"OM","COM_SP",3.000000,0.000000,75.480516,69.000000,6.480516,2.817616,0.000000,0.000000,0.000000,0.000000
10,"OM","COM_SB",4.000000,0.000000,346.385716,356.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,"SY","POV_GP",5.000000,5.000000,1626.267155,390.000000,1236.267155,95.097473,0.000000,0.000000,0.000000,0.000000
11,"SY","POV_RE",7.000000,7.000000,1560.242606,609.000000,951.242606,46.859242,0.000000,0.000000,0.000000,0.000000
11,"SY","POV_SE",8.000000,0.000000,1304.597416,928.000000,376.597416,12.174485,0.000000,0.000000,0.000000,0.000000
11,"SY","POV_SB",5.000000,0.000000,1345.156512,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,"OM","POV_GP",3.000000,0.000000,719.523211,180.000000,539.523211,89.920535,0.000000,0.000000,0.000000,0.000000
11,"OM","POV_RE",7.000000,0.000000,1280.889249,553.000000,727.889249,39.487663,0.000000,0.000000,0.000000,0.000000
11,"OM","POV_SE",3.000000,0.000000,473.047588,375.000000,98.047588,7.843807,0.000000,0.000000,0.000000,0.000000
11,"OM","POV_SB",2.000000,0.000000,987.537417,1536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,"OM","COM_GP",7.000000,0.000000,338.096075,161.000000,177.096075,32.999269,0.000000,0.000000,0.000000,0.000000
11,"OM","COM_SP",3.000000,0.000000,86.905493,69.000000,17.905493,7.784997,0.000000,0.000000,0.000000,0.000000
11,"OM","COM_SB",4.000000,0.000000,390.253112,356.000000,34.253112,2.886498,0.000000,0.000000,0.000000,0.000000
12,"SY","POV_GP",6.000000,6.000000,1792.724789,468.000000,1324.724789,84.918256,0.000000,0.000000,0.000000,0.000000
12,"SY","POV_RE",7.000000,7.000000,1586.451002,609.000000,977.451002,48.150296,0.000000,0.000000,0.000000,0.000000
12,"SY","POV_SE",8.000000,0.000000,1168.829287,928.000000,240.829287,7.785430,0.000000,0.000000,0.000000,0.000000
12,"SY","POV_SB",5.000000,0.000000,1254.123100,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,"OM","POV_GP",3.000000,0.000000,666.916731,180.000000,486.916731,81.152789,0.000000,0.000000,0.000000,0.000000
12,"OM","POV_RE",7.000000,0.000000,1318.126021,553.000000,765.126021,41.507741,0.000000,0.000000,0.000000,0.000000
12,"OM","POV_SE",3.000000,0.000000,425.316229,375.000000,50.316229,4.025298,0.000000,0.000000,0.000000,0.000000
12,"OM","POV_SB",2.000000,0.000000,821.676358,1536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,"OM","COM_GP",6.000000,0.000000,340.975721,138.000000,202.975721,44.125157,0.000000,0.000000,0.000000,0.000000
12,"OM","COM_SP",4.000000,0.000000,139.218005,92.000000,47.218005,15.397175,0.000000,0.000000,0.000000,0.000000
12,"OM","COM_SB",4.000000,0.000000,407.607260,356.000000,51.607260,4.348926,0.000000,0.000000,0.000000,0.000000
13,"SY","POV_GP",6.000000,6.000000,1798.594772,468.000000,1330.594772,85.294537,0.000000,0.000000,0.000000,0.000000
13,"SY","POV_RE",6.000000,6.000000,1382.682130,522.000000,860.682130,49.464490,0.000000,0.000000,0.000000,0.000000
